Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,Number of iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29

BUBBLE_SORT_PASS_PER_ITEM,INTEGER,ASC,100,29905.72671572379,5460.013706928936,107041.06666666667,77003,782386,97535.0,30,81440.0,113182.0,31742.0,782386.0,175524.0,77415,77044,77041,80445,79595,143343,77420,77087,81440,96865,101367,197361,101049,97330,97091,97028,154490,97535,101729,98476,96951,131731,113182,108516,139003,99496,97221,97262,141195,175524
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,RANDOM,100,60278.92913868549,11005.3764105045,99672.6,36138,566850,143643.0,30,37235.0,145817.0,108582.0,566850.0,36138.0,143480,143763,143776,143869,237987,166378,146147,146758,144439,145034,144030,143643,145817,156423,163715,146231,42646,40506,39137,38191,37819,37235,36821,38362,36561,36510,36387,36169,36206,36138
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,DESC,100,4813.465294243731,878.8145071418444,46469.166666666664,43504,77670,44965.0,30,44860.0,45149.0,289.0,52959.0,43781.0,45007,45032,45067,45149,45023,44890,45119,44830,44875,44965,45288,69658,47704,45338,45010,44904,44786,44860,44905,44927,44854,44902,54408,47868,44767,44894,44679,44827,51758,43781
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,ASC,1000,119289.41989620596,21779.168716285858,2184959.6,2067499,3881137,2138036.0,30,2077705.0,2299835.0,222130.0,2126662.0,2069906.0,2360108,2367588,2425665,2354761,2299835,2374759,2309149,2301399,2295045,2198250,2071984,2077705,2286063,2282376,2074662,2067499,2138036,2087208,2074764,2076960,2179045,2082422,2098218,2080680,2157672,2097198,2075592,2080636,2103603,2069906
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,RANDOM,1000,392171.59924770036,71600.41044028051,3120665.033333333,2687519,4119338,2962384.0,30,2830868.0,3311698.0,480830.0,2893069.0,3376860.0,2834290,2838639,2857857,2843595,2823841,2871103,2830868,2807595,3021774,2767818,3032889,2791683,2756238,3225663,3335698,2851242,3184078,2687519,2819585,4119338,3812384,3739032,2864309,3235501,3311698,3309741,3904822,2962384,3801907,3376860
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,DESC,1000,283955.79232501826,51842.99759688827,3473004.066666667,3207906,4708180,3393980.0,30,3328177.0,3490586.0,162409.0,3716919.0,3991743.0,3393980,3348412,3397364,3391693,3328177,3398352,3415020,3355051,3333859,3291210,3290742,3347093,3428986,3353980,3346350,3207906,3635504,3316774,3654989,3297373,3439957,3314096,3248857,3490586,3504932,4708180,3724727,3766704,3467525,3991743
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,ASC,100,10596.233317394755,1934.5986708416353,53407.5,49993,454713,50778.0,30,50641.0,51137.0,496.0,454713.0,50604.0,50671,50691,51183,51045,50768,50827,50681,50748,50615,51222,50641,73341,106141,51001,51147,50450,51137,50645,51281,50908,50766,50867,50569,50596,50464,50846,50778,50447,51145,50604
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,RANDOM,100,2606.5801775932814,475.89425373788737,94567.33333333333,85936,524818,94580.0,30,93252.0,96417.0,3165.0,493132.0,86795.0,92924,92782,94529,96610,94360,97984,98458,94998,99923,96480,93488,93592,95378,95289,96417,95173,92041,91065,94580,93014,96488,98139,96236,93294,93252,93798,94471,95551,89911,86795
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,DESC,100,3171.2548662424892,578.9892752796799,44978.2,43688,60028,43760.0,30,43715.0,44910.0,1195.0,52091.0,43730.0,44897,55587,44987,44964,44984,44945,44910,44878,44906,45315,43943,57643,43825,43753,43698,43731,43715,43701,43739,43696,43713,43721,43693,44052,43712,43720,43740,43688,43760,43730
