Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29

BUBBLE_SORT_PASS_PER_ITEM,INTEGER,ASC,100,232.3114982565913,42.414082654319046,6548.633333333333,6417,578959,6500.0,30,6500.0,6500.0,0.0,578959.0,6459.0,6500,6500,6541,6500,7792,6500,6500,6500,6500,6500,6500,6500,6500,6625,6500,6500,6500,6542,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6459
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,RANDOM,100,1254.6163419769232,229.06055717179214,14125.033333333333,13791,356792,13875.0,30,13834.0,13917.0,83.0,356792.0,13833.0,13833,13875,13875,20875,13958,13959,13958,13917,13833,14000,13958,13833,13917,14042,13875,13833,13834,13917,13917,13875,13834,13917,13875,13834,13875,13875,13833,13875,13916,13833
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,DESC,100,48.98702776132563,8.943766710003281,17797.066666666666,17708,22916,17791.0,30,17750.0,17833.0,83.0,20417.0,17750.0,17708,17792,17792,17875,17833,17750,17750,17791,17791,17791,17791,17875,17750,17875,17750,17875,17792,17750,17791,17833,17709,17917,17792,17792,17833,17791,17791,17791,17791,17750
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,ASC,1000,17378.17543373169,3172.806231112323,872045.8333333334,863583,984375,866459.0,30,863834.0,870291.0,6457.0,870042.0,866583.0,866333,901084,943875,917417,866459,863750,870417,863750,863834,866458,867208,870667,874917,866458,864875,863750,866459,863708,870291,863708,866417,870875,868125,863708,868125,866416,865416,866500,863792,866583
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,RANDOM,1000,4318.086806291261,788.3711830237215,1365011.0,1355709,1475083,1364459.0,30,1362666.0,1368291.0,5625.0,1365083.0,1368291.0,1366166,1362125,1363917,1363833,1366708,1372667,1363042,1363709,1359083,1362666,1360708,1368291,1369541,1375916,1359083,1363875,1362666,1365416,1363833,1368959,1364667,1358917,1368958,1370708,1359667,1364459,1367417,1356667,1368375,1368291
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,DESC,1000,5184.3019035031775,946.5196991552205,1638734.8,1633042,1777958,1636834.0,30,1636250.0,1638750.0,2500.0,1638792.0,1636834.0,1634042,1633834,1638708,1646041,1638750,1636792,1634417,1636833,1648291,1636208,1636500,1636875,1634125,1643542,1641375,1635750,1636417,1638750,1643667,1636625,1637791,1636250,1636292,1658625,1633042,1636667,1638042,1636959,1644000,1636834
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,ASC,10000,749024.5210529492,136752.5421017345,9.0484857E7,88916875,95182500,9.081675E7,30,9.074675E7,9.090575E7,159000.0,8.9725292E7,9.0891625E7,90909833,90845709,90798917,90794125,90829625,91080250,90802375,91349667,90934125,89261500,89115250,89170167,89153917,89201042,89018792,89089500,90746750,90967583,90905750,90879583,90816750,90800209,90812000,90840000,90902708,90910209,90808583,91097666,90811500,90891625
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,RANDOM,10000,560539.268303964,102340.0005391739,1.531036513E8,151513541,165465625,1.5296175E8,30,1.52671417E8,1.53479E8,807583.0,1.52721708E8,1.53462625E8,153731500,153205458,153597583,153479000,154543458,152756292,152923041,152715625,152532750,152613208,152563834,152772958,153116417,153522958,152777083,152615208,152187083,153591084,154080333,152961750,152594042,154263250,153217250,153436416,152386500,153125750,152671417,152747708,152917958,153462625
BUBBLE_SORT_PASS_PER_ITEM,INTEGER,DESC,10000,417690.14720494667,76259.43855726757,1.648164139E8,164607334,169377083,1.64729708E8,30,1.64695042E8,1.64765417E8,70375.0,1.65311916E8,1.64865958E8,164772750,164630875,164723958,164734584,164908375,164717167,164679792,164705958,164705833,164714959,164807708,167031916,164740167,164765417,164698000,164749500,164695042,164907291,164694875,164671500,164729708,164679333,164681792,164914417,164704625,164730750,164645667,164742625,164741875,164865958
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,ASC,100,189.6646748577312,34.62787359382077,11872.333333333334,11208,392125,11792.0,30,11708.0,12083.0,375.0,392125.0,12167.0,12084,11667,12083,11834,11958,11708,11750,11708,11709,11875,11709,11750,12125,12042,11917,11709,11708,12166,12125,11708,11708,11667,11792,12167,12167,11709,11667,11708,12083,12167
